#{"t_start": 1714022962.0754201, "env_id": null}
r,l,t
-223.45884,146,42.057122
-116.195236,29,42.145231
-134.421086,41,42.270289
-134.083952,52,42.427293
-110.774694,17,42.480152
-100.0,1,84.378855
-119.275505,31,84.488798
-118.911009,37,84.599823
-161.711778,89,84.909776
-102.105903,6,84.929762
-102.293689,34,127.546312
-100.411694,11,127.593351
-100.090152,16,127.661403
-112.992623,35,127.76841
-134.178814,81,128.043513
-98.042349,47,173.762651
-98.558881,16,173.82261
-98.8,4,173.8416
-99.6,2,173.851574
-101.991939,21,173.92645
-98.328731,47,217.698351
-98.274781,6,217.718414
-95.125427,54,217.900406
-92.425482,42,218.049407
-123.117816,71,218.341502
-90.086822,33,262.308835
-91.86,19,262.370794
-97.375518,44,262.515706
-94.04718,13,262.556596
-138.979221,86,262.879734
-104.51751,61,308.815885
-93.698937,46,308.959898
-93.674875,21,309.02296
-100.302212,70,309.283167
-88.721668,41,309.429187
-95.0,16,353.978133
-95.741044,51,354.144161
-100.062613,62,354.362028
-98.9,16,354.410975
-94.16577,24,354.480878
-94.465903,16,396.990621
-92.280714,71,397.225431
-96.6,10,397.254355
-100.010155,59,397.435316
-88.992915,56,397.617187
-111.985046,89,442.297523
-90.649031,31,442.400611
-95.02,12,442.441649
-120.337091,96,442.848793
-98.468743,57,443.056849
