#{"t_start": 1714027288.1543183, "env_id": null}
r,l,t
-154.482385,41,336.709842
-166.955988,56,337.363153
-175.257298,66,338.282136
-179.057167,86,339.680212
-242.773555,161,343.93848
-132.357666,26,691.681606
-110.978467,31,692.080534
-203.654044,181,696.1964
-390.980641,416,711.496199
-254.239528,198,717.095189
-229.964375,291,1101.787164
-207.112925,246,1110.331291
-100.0,1,1110.439837
-119.401123,46,1110.952061
-128.411174,47,1111.686024
-111.39991,97,1474.866404
-110.025392,116,1477.371357
-103.0,3,1477.457093
-218.913793,316,1491.658077
-235.339089,337,1506.381762
-119.94409,166,1890.261918
-115.434086,61,1891.222704
-146.806854,245,1899.909389
-272.932164,364,1916.151993
-101.730406,136,1920.06269
-145.574788,210,2306.745817
-122.572784,209,2314.857016
-125.311017,226,2322.186219
-96.637352,126,2325.39628
-111.784298,160,2329.619322
-99.860023,206,2694.622653
-106.33171,201,2700.644326
-107.960213,181,2705.80378
-184.834745,331,2720.393133
-182.316306,282,2731.27776
-131.457889,261,3105.420351
-89.97543,99,3107.601479
-205.398234,353,3123.297503
-88.580784,56,3124.135864
-167.815209,286,3135.15136
-178.319811,281,3520.921408
-133.749308,242,3529.743248
-153.483099,257,3539.673366
-119.448409,157,3544.026602
-97.6,6,3544.139456
-185.195261,294,3901.898364
-126.961677,216,3909.170981
-120.628013,184,3914.131095
-191.45469,306,3927.12701
-85.17911,61,3928.012334
