#{"t_start": 1714018953.765056, "env_id": null}
r,l,t
-125.336659,41,21.251709
-150.636335,81,21.375332
-103.0,3,21.381317
-112.780217,21,21.412502
-105.917067,16,21.436572
-98.20895,8,44.396113
-111.680281,38,44.45353
-98.735818,15,44.476735
-111.572076,38,44.533986
-105.165017,15,44.557075
-96.033333,11,68.061085
-121.089395,46,68.134029
-98.20895,6,68.144002
-100.0315,21,68.177036
-98.0,6,68.187009
-99.370228,16,91.370405
-113.65895,21,91.402594
-115.85311,49,91.478919
-98.0,6,91.489028
-105.977582,25,91.529199
-104.4185,35,114.613238
-98.4737,16,114.639165
-99.75455,31,114.688037
-109.011495,56,114.775802
-98.0,6,114.785774
-94.310551,24,138.061227
-98.6,4,138.068209
-93.07465,26,138.108312
-107.860428,61,138.201716
-98.381649,21,138.234905
-100.351767,26,161.672936
-96.716668,26,161.715113
-96.139681,41,161.78046
-92.966667,16,161.805532
-95.418433,21,161.840814
-93.88785,21,185.183391
-94.236895,20,185.216439
-94.2046,16,185.243438
-96.8315,8,185.256478
-100.0,1,185.25947
-97.461278,11,207.268728
-98.0,6,207.278727
-98.8,4,207.285722
-107.801331,50,207.365936
-93.731649,16,207.390982
-101.876807,49,230.649154
-94.035019,25,230.687082
-97.588733,25,230.72524
-92.778359,27,230.767127
-97.8,6,230.777242
